# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-18T05:29:24+08:00
# started_remote=2026-03-18T05:29:24+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 468232 505164 1133888    0    0     0    52 1311 2064  8  2 91  0  0
 0  0      0 468028 505164 1133908    0    0     0     0 1012 1564  0  1 99  0  0
 0  0      0 468232 505164 1133908    0    0     0     0  753 1221  0  0 99  0  0
 0  0      0 468952 505164 1133908    0    0     0     0  987 1470  1  2 97  0  0
 0  0      0 475368 505164 1133908    0    0     0     0  758 1202  1  1 99  0  0
 0  0      0 465964 505172 1133904    0    0     0    48 1272 1942  9  3 88  0  0
 0  0      0 465964 505172 1133908    0    0     0     0 1131 1754  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 466216 505172 1133908    0    0     0     0 1170 1960  1  1 98  0  0
 0  0      0 474060 505172 1133908    0    0     0     0  942 1495  1  1 99  0  0
 0  0      0 474264 505172 1133908    0    0     0     0  927 1526  1  1 98  0  0
 0  0      0 468736 505176 1133912    0    0     0    56 1524 2327 19  3 78  0  0
 0  0      0 469240 505176 1133908    0    0     0     0 1126 1781  1  0 99  0  0
 0  0      0 469996 505176 1133908    0    0     0     0  939 1529  1  1 99  0  0
 0  0      0 470200 505176 1133908    0    0     0     0  873 1382  0  1 99  0  0
 0  0      0 477336 505176 1133908    0    0     0     0  931 1518  1  0 99  0  0
 1  0      0 470468 505180 1133880    0    0     0    88 1353 2096  8  2 91  0  0
 0  0      0 469680 505180 1133908    0    0     0     0 1428 2155  2  2 96  0  0
 0  0      0 469632 505180 1133908    0    0     0     0  927 1455  1  1 98  0  0
 0  0      0 477792 505180 1133912    0    0     0     0 1016 1617  1  1 98  0  0
 0  0      0 477840 505180 1133912    0    0     0     0  873 1441  0  1 99  0  0
 0  0      0 465460 505184 1133872    0    0     0    76 1367 2244 10  3 87  0  0
 0  0      0 466972 505184 1133912    0    0     0     0 1089 1699  1  1 98  0  0
 0  0      0 468280 505184 1133912    0    0     0     0  885 1444  1  0 99  0  0
